tweets,author,date,likes,retweets,hashtags,linked_accounts,urls,id,tweet_type
"@TobiasT89457299 @woelken @rezomusik Wir wollten die EU-Agrarpolitik grundlegend ändern und Subventionen an Boden-, Wasser- und Tierschutz koppeln. War natürlich mit CDU/CSU/FDP nicht machbar. Stattdessen werden weiterhin Hektarprämien gezahlt. https://t.co/P0TbWkcnPC",SPDEuropa,2019-05-22 14:33:54,45,5,,"TobiasT89457299, woelken, rezomusik",https://t.co/P0TbWkcnPC,1131206556287156226,tweet
"@Zwitscherkunkel @berndlange @SPOE_at @spdde @SPDNDS @WahlkampfSPD Stimmt, was fällt uns bloß ein? 😉 https://t.co/H8fpg9nT7g",SPDEuropa,2019-05-22 14:03:05,2,0,,"Zwitscherkunkel, berndlange, SPOE_at, spdde, SPDNDS, WahlkampfSPD",https://t.co/H8fpg9nT7g,1131198801442725888,tweet
@niggi @mathiasrichel https://t.co/S2tubjI5o7,SPDEuropa,2019-05-22 11:37:09,1,0,,"niggi, mathiasrichel",https://t.co/S2tubjI5o7,1131162077559705601,tweet
".@woelken sprach mit dem @BVDW über die wichtigsten Themen der Digitalbranche: ""Ich befürchte, dass wir die letzten fünf Jahre nicht so genutzt haben, wie es hätte sein müssen, um die #EU wirklich fit für das digitale Zeitalter zu machen."" #Europawahl2019 https://t.co/ulIY9EuCdx",SPDEuropa,2019-05-22 09:37:33,0,1,"EU, Europawahl2019","woelken, BVDW",https://t.co/ulIY9EuCdx,1131131978957414400,tweet
"@SteffenOstin Gute Frage: 15,99 € monatlich.",SPDEuropa,2019-05-22 09:24:05,1,0,,SteffenOstin,,1131128589427138560,tweet
"Die EU kostet uns so viel wie ein #Netflix-Abo. Und was wir dafür erhalten, ist der Wahnsinn! #EuropaistdieAntwort #Europawahl2019 #ItsTime #ThisTimeImVoting https://t.co/SvXs07Fa8R",SPDEuropa,2019-05-22 09:11:14,26,3,"Netflix, EuropaistdieAntwort, Europawahl2019, ItsTime, ThisTimeImVoting",,https://t.co/SvXs07Fa8R,1131125354599538688,tweet
"„Das Europaparlament wird das #Spitzenkandidaten-Prinzip durchsetzen, sonst nimmt keiner mehr eine Schnitte Brot von uns. Kein Mensch will zu einem EU-Kommisionschef wie Barroso zurück - Schoßhündchen der Regierungschefs“: @EuropaJens (r) bei M. Beermann, @rponline-Auslandschef https://t.co/sANDb8rhnS",SPDEuropa,2019-05-20 15:58:51,14,3,Spitzenkandidaten,"EuropaJens, rponline",,1130503159145799684,tweet
Gleicher Lohn für gleiche Arbeit am gleichen Ort. Dafür haben wir uns im Europäischen Parlament stark gemacht. #EuropaistdieAntwort #FaireArbeit #Europawahl2019 https://t.co/FgFkkcoydR,SPDEuropa,2019-05-20 15:07:35,19,2,"EuropaistdieAntwort, FaireArbeit, Europawahl2019",,https://t.co/FgFkkcoydR,1130490256288100353,tweet
"Heute ist #Weltbienentag! Ein erster Schritt zum Schutz der #Bienen war das Verbot von Neonicotinoiden in der EU. Was noch fehlt, ist ein Wechsel zu einer naturverträglichen EU-Agrarpolitik. #EuropaistdieAntwort #Europawahl2019 #Landwirtschaft #Artensterben https://t.co/eionffFIeS",SPDEuropa,2019-05-20 09:07:31,17,2,"Weltbienentag, Bienen, EuropaistdieAntwort, Europawahl2019, Landwirtschaft, Artensterben",,,1130399643714686977,tweet
"@DMauserr Ja, kommt gleich.",SPDEuropa,2019-05-17 09:25:12,2,0,,DMauserr,,1129316931775979520,tweet
